Id,ImdbId,Name
bce61cbc-b487-42dd-b1aa-a20b8a4cc1bd,nm0084459,Demeter Bitenc
c3c51e89-1f1f-4456-8a83-6267c8b409cc,nm0105979,Thomas Braut
ca18b96b-3418-48fe-8fd7-9392a9150d0b,nm0000336,James Coburn
d018f0b9-9836-427f-9540-ab24550e5bfa,nm0000051,James Mason
d89e7a78-b302-4192-a6c0-0d9f0a1ebd21,nm4465541,Pat Duggan
f43bf97d-9424-4772-af67-295881bc0a67,nm0830275,Fred Stillkrauth
f5f2acd6-3a02-473d-90ba-1032b29b1f1e,nm0892927,Véronique Vendell
f9a0f2e9-5387-4cba-aa7e-1aef06461045,nm0357925,James Hamilton
fa06194f-2e97-4990-99a0-af93fca06204,nm0303276,Igor Galo
fa671ced-4dae-46bf-9797-3f8e39856cbb,nm0530594,Klaus Löwitsch
febe6fa9-1608-4303-87b1-329d1b7a9ea5,nm0001831,David Warner
09f61c98-4778-409c-96ae-e0c1a95795b4,nm0485950,Sihung Lung
184aab5f-ce5f-412b-8cab-9ea7375eb772,nm0151654,Chang Chen
30bd5137-e7ab-4e36-b78a-1b66dbeb8d5f,nm0399048,Suying Huang
32afc2fd-2aa9-47e5-b246-b89cf3b90883,nm0000334,Chow Yun-Fat
4b9f9eb0-ba87-4884-87b6-732b2126c644,nm0508329,Fazeng Li
50d44cf7-fe06-45bc-a540-4270bd240780,nm0304723,Xian Gao
5992ecad-e24e-4344-a9f4-d75963ebb6e2,nm0000706,Michelle Yeoh
5f4a6b84-ad1a-4c42-81f8-62f8eebc5387,nm0906431,Wai Sum Shia
5fca1d07-af2a-437e-b82d-2ead5d5785fd,nm0239008,Zhenxi Du
6983f2c5-03fb-4c1e-a03c-7cd5aa6d4b3a,nm0944623,Cheng Lin Xu
6b35dae4-63ab-4955-8555-ed02f1c53753,nm0498023,Philip Lee
6c37b992-3538-4b68-a8ac-8b08eda7bb5c,nm0508441,Kai Li
83f8ca04-609d-42a2-b9e5-d4b7642f7568,nm0770005,James Schamus
84dde76b-705a-4592-a21e-48e62c1b3834,nm0398836,Li-Kong Hsu
87dc9341-5f0d-464f-8ee2-ae69745feafa,nm1276375,Li Li
8982837c-0d32-4130-ab67-8636097d35d2,nm0161045,Bo-Chu Chui
8b3a2941-dd54-4576-b714-65551bad2e76,nm0910924,Hui-Ling Wang
8b62e6ca-a4cd-4551-8200-6f786d1327e3,nm0000487,Ang Lee
8beb05c8-8f40-4062-b100-0fd91315c73c,nm0874631,Kuo Jung Tsai
8d8d1c9f-25f2-4cf5-889f-d69da0967b5c,nm0232484,Ping Dong
98399ae6-e8a5-422a-a765-d7d4bcc103a8,nm0465067,William Kong
995a359c-ee7f-4fd3-a688-8a12a643c5fb,nm0354016,Yan Hai
9e035a33-932e-4faa-9f2f-917b51e155c2,nm0910879,Deming Wang
9f4cdf42-4f79-4297-9e5d-5ff206f4f29a,nm0271801,Jianhua Feng
ab42f161-6fcd-4c9f-bc11-64b0efa5390f,nm0955628,Quangang Zheng
bcc05f33-6abc-495a-abbf-7283a679ddcc,nm0155607,Pei-Pei Cheng
c24839dd-5ef7-4b67-bd39-90b4f769d4cf,nm0955471,Ziyi Zhang
