Id,Title,Imdb_Id
325d211c-c5a9-432b-b932-a8125a7a58a6,Bram Stoker's Dracula,tt0103874
fdc5e54c-c12a-41f2-8404-dbc1ee9603b2,Brave,tt1217209
9698d5f7-0acb-43c2-887f-42609c435794,Brazil,tt0088846
8af5898e-9e5b-4339-a5fb-49b4a8612b8a,Breakdown,tt0118771
a48e94f0-bfc1-4caa-bc70-164e9c480603,Breakfast at Tiffany’s,tt0054698
be2dd5f3-f601-4156-9270-9b31b66296d1,Breaking Away,tt0078902
b9269d0c-8694-427b-b1cb-3561c2293111,Bride of Chucky,tt0144120
fadde615-22b4-4cd2-9843-205757b728f9,Bridesmaids,tt1478338
0cce73bc-9ddd-497b-85c7-d4f50803089a,Bridge of Spies,tt3682448
404b645a-adf6-407a-95a7-74bb4b73dd02,Bridget Jones’s Diary,tt0243155
f2f77f25-6e6b-464b-a4ad-db927d2080cc,Brief Encounter,tt0037558
77b4a22e-e18f-4f8d-9019-d86c54be7876,Bring It On,tt0204946
9323aee5-180e-4f42-8050-63e458e2ab0c,Bring Me the Head of Alfredo Garcia,tt0071249
0263e40f-4e57-4c72-a9a3-558610e6b399,Bringing Out the Dead,tt0163988
366d5aef-f82a-4376-ad16-8d0175221306,Bringing Up Baby,tt0029947
0574d632-64d2-4270-a88c-20266477cc0e,Broadcast News,tt0092699
0f814ac0-5377-4b8f-836c-4cb3ec935f3d,Brokeback Mountain,tt0388795
c7aee0de-acab-4383-9c44-416005a060f4,Broken Arrow,tt0115759
de926ab0-492a-4e42-b7fa-7d85ffcc5c01,The Brother from Another Planet,tt0087004
b92bd2b3-97b4-448f-9443-d6c09b71dbe3,Brown Sugar,tt0297037
faf0691e-0951-44c0-8603-0626bad3600f,B'Twixt Now and Sunrise,tt22246056
b0650560-605a-418d-a32f-6f238d9bec97,Bubble,tt0454792
82a76379-7ddc-4f28-9634-9c32068b30ab,Buffalo '66,tt0118789
884d17c6-4fed-4eb5-bbe5-092122ae381d,Bug,tt0470705
63734f4b-81c0-4f9b-a190-621e627102ea,Bull Durham,tt0094812
415d5a8b-8bf3-4ef6-86ee-c2b172f9d00b,Bullet in the Head,tt0099426
5e427f9d-cd73-45ee-bc3f-39ed19f5d457,Bully,tt0242193
fd360af8-d26c-40d1-ab58-595ad872979d,Burn After Reading,tt0887883
14348dec-256b-4dbc-9309-6e2da88f46b3,Burning,tt7282468
caca577e-5c25-484c-83a4-ce6f115ce78c,Butch Cassidy and the Sundance Kid,tt0064115
d681208f-3982-4cea-ad26-7ca5ec146b2c,Byzantium,tt1531901
adcae133-69d7-45c2-b9c4-046c345d1e44,C.R.A.Z.Y.,tt0401085
ec18f780-7fde-4822-8aad-b59e12ca4dea,Cabaret,tt0068327
095ee62b-b773-42b8-adab-0fe9a51274ee,Caché,tt0387898
11bed4e7-620e-4671-8f83-c49e3fd63fca,Cadet Kelly,tt0294425
e4a5671f-a7c9-430b-b68e-f8e79717ef91,Call Me by Your Name,tt5726616
379dc06d-bcaf-43df-b48e-b89001d2a111,Cam,tt8361028
eaf390bf-6a79-42db-ae33-e73ef96f4d7f,Camelot,tt0061439
0d38f416-b7ed-4d36-a332-6734667d59a4,Camera Buff,tt0078763
7f1e0c03-cae9-4dd8-a1c5-81913a9b0b05,Can You Ever Forgive Me?,tt4595882
dfc6c2f2-9f87-4915-b726-f0ad78d54d89,Candyman,tt9347730
