"id","readable_id","title","draft_type","episode_type","total_picks","total_drafters","total_drafter_teams","total_hosts","episode_number","draft_status","created_at_utc","updated_at_utc","is_patreon_only","non_canonical"
"30340497-be6a-4b4c-8026-6274e4e1c8ff",50,Queer Romance,0,0,7,2,0,2,"35",3,2025-03-28 07:16:16.547 -0400,,false,false
"3077ea32-3625-4710-a209-255dfed11a1c",51,Queer Comedy,0,0,7,2,0,2,"265",3,2025-03-28 07:16:16.591 -0400,,false,false
"315c10c7-981b-430c-a4b1-f1b2b37233bf",52,Juliette Binoche mini-Mega,1,0,13,3,0,0,"261",3,2025-03-28 07:16:16.590 -0400,,false,false
"31e8bae2-02fc-44a7-9832-92420205e3eb",53,Comedians First Dramas,0,5,7,2,0,2,"2",3,2025-03-28 07:16:16.614 -0400,,true,false
"32386f43-e767-4268-830d-cdd11b1ffae5",54,Home Invasion,0,0,7,2,0,2,"251",3,2025-03-28 07:16:16.588 -0400,,false,false
"323e4bd2-a468-49b5-b4a5-0fbe17d50244",55,David Cronenberg,0,0,7,2,0,2,"80",3,2025-03-28 07:16:16.557 -0400,,false,false
"323f3d10-46aa-4b02-b415-b2c78ffedc35",56,Batman vs. Superman Super Draft,3,0,18,4,0,2,"174",3,2025-03-28 07:16:16.575 -0400,,false,false
"33697c54-2e50-4c21-80e0-d679cc83bb5b",57,"2024 Mega Draft",2,0,20,4,0,1,"313",3,2025-03-28 07:16:16.613 -0400,,false,false
"33ce92e4-4a86-4c67-b75d-79f6f1380867",58,Pixar Super Draft,3,0,22,4,0,2,"105",3,2025-03-28 07:16:16.562 -0400,,false,false
"357ca841-6152-4baf-b38c-a98b1feed053",59,"1950 Best Picture",4,4,5,2,0,0,"2",3,2025-03-28 07:16:16.613 -0400,,true,false
"3588e7c1-42ed-4cee-b83e-9cf014309b10",60,Christopher Lee,0,0,7,2,0,2,"12",3,2025-03-28 07:16:16.543 -0400,,false,false
"375e1dea-ec7c-40c4-b631-fe87b9382bb7",61,Underworld mini-Super Draft,4,1,5,2,0,0,"9",3,2025-03-28 07:16:16.601 -0400,,true,false
"38468ccc-3fe8-475d-99ef-75c587bd6969",62,"The ""Modern"" Mummy mini-Super Draft",4,1,5,2,0,0,"34",3,2025-03-28 07:16:16.606 -0400,,true,false
"38ab5f31-064f-4038-994a-40d5befd8572",63,Vietnam War mini-Mega,1,0,11,3,0,3,"247",3,2025-03-28 07:16:16.587 -0400,,false,false
"39eac0ae-a206-4fd4-beee-f9d6b257dfc0",64,Shakespeare: Part III Mini-Mega,1,0,13,4,0,2,"132",3,2025-03-28 07:16:16.566 -0400,,false,false
"3ae28710-af89-4d61-8e1b-d5d252e166b1",65,Time Travel,0,0,7,2,0,0,"7",3,2025-03-28 07:16:16.542 -0400,,false,false
"3be7fbc9-64d8-476b-b4c3-58c632b08f67",66,The Karate Kid mini-Super Draft,4,1,5,2,0,0,"21",3,2025-03-28 07:16:16.603 -0400,,true,false
"3c09fb5c-8108-4b4c-9b08-77a836814ac6",67,Ensemble Casts,0,0,7,2,0,2,"45",3,2025-03-28 07:16:16.550 -0400,,false,false
"3d39537e-9cb8-4946-8f66-c65c5642756c",68,"2022 Mega Draft",2,0,20,4,0,0,"222",3,2025-03-28 07:16:16.583 -0400,,false,false
"3dfa5437-fafc-4180-9c22-8d542d6915dc",69,Michael Mann Super Draft,3,0,13,3,0,2,"291",3,2025-03-28 07:16:16.595 -0400,,false,false
"3e32b2e2-448a-4baf-864a-750cd7dbf505",70,"2023 Mega Draft",2,0,20,4,0,1,"268",3,2025-03-28 07:16:16.591 -0400,,false,false
"3e787702-e24f-4a0d-b2b4-4ee9b284f102",71,Quentin Tarantino,0,0,7,2,0,2,"17",3,2025-03-28 07:16:16.544 -0400,,false,false
"3eacfbe9-0089-48bd-90cb-a8ce1bb72f16",72,Hotels & Motels,0,0,7,2,0,2,"187",3,2025-03-28 07:16:16.577 -0400,,false,false
"400d5869-fc99-4f88-9dd6-fbbe4b3a67e5",73,Scream mini-Super Draft,4,1,5,2,0,0,"31",3,2025-03-28 07:16:16.605 -0400,,true,false
